repo_size_bucket,field,total_evaluated,total_correct,accuracy
small(<50),project_title,9,9,1.0000
small(<50),primary_language,9,7,0.7778
small(<50),license_name,9,7,0.7778
small(<50),description,9,3,0.3333
small(<50),usage_type,9,8,0.8889
small(<50),installation_method,9,8,0.8889
medium(50-500),project_title,9,8,0.8889
medium(50-500),primary_language,9,7,0.7778
medium(50-500),license_name,9,9,1.0000
medium(50-500),description,9,7,0.7778
medium(50-500),usage_type,9,8,0.8889
medium(50-500),installation_method,9,9,1.0000
large(>500),project_title,12,11,0.9167
large(>500),primary_language,12,6,0.5000
large(>500),license_name,12,11,0.9167
large(>500),description,12,7,0.5833
large(>500),usage_type,12,11,0.9167
large(>500),installation_method,12,11,0.9167
