supported_by_autodoc,field,total_evaluated,total_correct,accuracy
full,project_title,13,13,1.0000
full,primary_language,13,11,0.8462
full,license_name,13,13,1.0000
full,description,13,10,0.7692
full,usage_type,13,13,1.0000
full,installation_method,13,12,0.9231
partial,project_title,15,14,0.9333
partial,primary_language,15,9,0.6000
partial,license_name,15,13,0.8667
partial,description,15,7,0.4667
partial,usage_type,15,13,0.8667
partial,installation_method,15,14,0.9333
none,project_title,2,1,0.5000
none,primary_language,2,0,0.0000
none,license_name,2,1,0.5000
none,description,2,0,0.0000
none,usage_type,2,1,0.5000
none,installation_method,2,2,1.0000
